Timestamp,Workload,Predicted Heart Rate
0 days 00:00:00,30,58.323727
0 days 00:00:05,30,58.323727
0 days 00:00:10,30,58.323727
0 days 00:00:15,30,58.323727
0 days 00:00:20,30,58.323727
0 days 00:00:25,30,58.323727
0 days 00:00:30,30,58.323727
0 days 00:00:35,30,58.323727
0 days 00:00:40,30,58.323727
0 days 00:00:45,30,58.323727
0 days 00:00:50,30,58.323727
0 days 00:00:55,30,58.323727
0 days 00:01:00,30,58.323727
0 days 00:01:05,30,58.323727
0 days 00:01:10,30,58.323727
0 days 00:01:15,30,58.323727
0 days 00:01:20,30,58.323727
0 days 00:01:25,30,58.323727
0 days 00:01:30,30,58.323727
0 days 00:01:35,30,58.323727
0 days 00:01:40,30,58.323727
0 days 00:01:45,30,58.323727
0 days 00:01:50,30,58.323727
0 days 00:01:55,30,58.323727
0 days 00:02:00,40,76.80931
0 days 00:02:05,40,76.80931
0 days 00:02:10,40,76.80931
0 days 00:02:15,40,76.80931
0 days 00:02:20,40,76.80931
0 days 00:02:25,40,76.80931
0 days 00:02:30,40,76.80931
0 days 00:02:35,40,76.80931
0 days 00:02:40,40,76.80931
0 days 00:02:45,40,76.80931
0 days 00:02:50,40,76.80931
0 days 00:02:55,40,76.80931
0 days 00:03:00,40,76.80931
0 days 00:03:05,40,76.80931
0 days 00:03:10,40,76.80931
0 days 00:03:15,40,76.80931
0 days 00:03:20,40,76.80931
0 days 00:03:25,40,76.80931
0 days 00:03:30,40,76.80931
0 days 00:03:35,40,76.80931
0 days 00:03:40,40,76.80931
0 days 00:03:45,40,76.80931
0 days 00:03:50,40,76.80931
0 days 00:03:55,40,76.80931
0 days 00:04:00,50,95.29489
0 days 00:04:05,50,95.29489
0 days 00:04:10,50,95.29489
0 days 00:04:15,50,95.29489
0 days 00:04:20,50,95.29489
0 days 00:04:25,50,95.29489
0 days 00:04:30,50,95.29489
0 days 00:04:35,50,95.29489
0 days 00:04:40,50,95.29489
0 days 00:04:45,50,95.29489
0 days 00:04:50,50,95.29489
0 days 00:04:55,50,95.29489
0 days 00:05:00,50,95.29489
0 days 00:05:05,50,95.29489
0 days 00:05:10,50,95.29489
0 days 00:05:15,50,95.29489
0 days 00:05:20,50,95.29489
0 days 00:05:25,50,95.29489
0 days 00:05:30,50,95.29489
0 days 00:05:35,50,95.29489
0 days 00:05:40,50,95.29489
0 days 00:05:45,50,95.29489
0 days 00:05:50,50,95.29489
0 days 00:05:55,50,95.29489
0 days 00:06:00,60,113.78048
0 days 00:06:05,60,113.78048
0 days 00:06:10,60,113.78048
0 days 00:06:15,60,113.78048
0 days 00:06:20,60,113.78048
0 days 00:06:25,60,113.78048
0 days 00:06:30,60,113.78048
0 days 00:06:35,60,113.78048
0 days 00:06:40,60,113.78048
0 days 00:06:45,60,113.78048
0 days 00:06:50,60,113.78048
0 days 00:06:55,60,113.78048
0 days 00:07:00,60,113.78048
0 days 00:07:05,60,113.78048
0 days 00:07:10,60,113.78048
0 days 00:07:15,60,113.78048
0 days 00:07:20,60,113.78048
0 days 00:07:25,60,113.78048
0 days 00:07:30,60,113.78048
0 days 00:07:35,60,113.78048
0 days 00:07:40,60,113.78048
0 days 00:07:45,60,113.78048
0 days 00:07:50,60,113.78048
0 days 00:07:55,60,113.78048
0 days 00:08:00,70,132.26607
0 days 00:08:05,70,132.26607
0 days 00:08:10,70,132.26607
0 days 00:08:15,70,132.26607
0 days 00:08:20,70,132.26607
0 days 00:08:25,70,132.26607
0 days 00:08:30,70,132.26607
0 days 00:08:35,70,132.26607
0 days 00:08:40,70,132.26607
0 days 00:08:45,70,132.26607
0 days 00:08:50,70,132.26607
0 days 00:08:55,70,132.26607
0 days 00:09:00,70,132.26607
0 days 00:09:05,70,132.26607
0 days 00:09:10,70,132.26607
0 days 00:09:15,70,132.26607
0 days 00:09:20,70,132.26607
0 days 00:09:25,70,132.26607
0 days 00:09:30,70,132.26607
0 days 00:09:35,70,132.26607
0 days 00:09:40,70,132.26607
0 days 00:09:45,70,132.26607
0 days 00:09:50,70,132.26607
0 days 00:09:55,70,132.26607
0 days 00:10:00,80,150.75163
0 days 00:10:05,80,150.75163
0 days 00:10:10,80,150.75163
0 days 00:10:15,80,150.75163
0 days 00:10:20,80,150.75163
0 days 00:10:25,80,150.75163
0 days 00:10:30,80,150.75163
0 days 00:10:35,80,150.75163
0 days 00:10:40,80,150.75163
0 days 00:10:45,80,150.75163
0 days 00:10:50,80,150.75163
0 days 00:10:55,80,150.75163
0 days 00:11:00,80,150.75163
0 days 00:11:05,80,150.75163
0 days 00:11:10,80,150.75163
0 days 00:11:15,80,150.75163
0 days 00:11:20,80,150.75163
0 days 00:11:25,80,150.75163
0 days 00:11:30,80,150.75163
0 days 00:11:35,80,150.75163
0 days 00:11:40,80,150.75163
0 days 00:11:45,80,150.75163
0 days 00:11:50,80,150.75163
0 days 00:11:55,80,150.75163
0 days 00:12:00,90,169.23724
0 days 00:12:05,90,169.23724
0 days 00:12:10,90,169.23724
0 days 00:12:15,90,169.23724
0 days 00:12:20,90,169.23724
0 days 00:12:25,90,169.23724
0 days 00:12:30,90,169.23724
0 days 00:12:35,90,169.23724
0 days 00:12:40,90,169.23724
0 days 00:12:45,90,169.23724
0 days 00:12:50,90,169.23724
0 days 00:12:55,90,169.23724
0 days 00:13:00,90,169.23724
0 days 00:13:05,90,169.23724
0 days 00:13:10,90,169.23724
0 days 00:13:15,90,169.23724
0 days 00:13:20,90,169.23724
0 days 00:13:25,90,169.23724
0 days 00:13:30,90,169.23724
0 days 00:13:35,90,169.23724
0 days 00:13:40,90,169.23724
0 days 00:13:45,90,169.23724
0 days 00:13:50,90,169.23724
0 days 00:13:55,90,169.23724
0 days 00:14:00,100,187.72284
0 days 00:14:05,100,187.72284
0 days 00:14:10,100,187.72284
0 days 00:14:15,100,187.72284
0 days 00:14:20,100,187.72284
0 days 00:14:25,100,187.72284
0 days 00:14:30,100,187.72284
0 days 00:14:35,100,187.72284
0 days 00:14:40,100,187.72284
0 days 00:14:45,100,187.72284
0 days 00:14:50,100,187.72284
0 days 00:14:55,100,187.72284
