Time,HeartRate,WL
00:00:00,112,25
00:00:01,111,50
00:00:01,111,50
00:00:01,110,50
00:00:01,110,50
00:00:03,109,50
00:00:04,108,50
00:00:04,108,50
00:00:04,107,50
00:00:04,107,50
00:00:07,106,50
00:00:07,107,50
00:00:08,107,50
00:00:08,107,50
00:00:10,107,50
00:00:10,107,50
00:00:11,108,50
00:00:11,108,50
00:00:13,108,50
00:00:13,109,50
00:00:15,109,50
00:00:16,109,50
00:00:16,110,50
00:00:18,110,50
00:00:19,110,50
00:00:19,110,50
00:00:20,110,50
00:00:22,110,50
00:00:22,110,50
00:00:23,110,50
00:00:25,109,50
00:00:25,109,50
00:00:26,109,50
00:00:28,108,50
00:00:28,108,50
00:00:30,109,50
00:00:31,109,50
00:00:31,109,50
00:00:33,109,50
00:00:33,109,50
00:00:34,109,50
00:00:34,108,50
00:00:37,106,50
00:00:37,106,50
00:00:39,106,50
00:00:40,107,50
00:00:40,108,50
00:00:41,108,50
00:00:43,108,50
00:00:43,108,50
00:00:45,107,50
00:00:46,106,50
00:00:46,106,50
00:00:48,106,50
00:00:49,105,50
00:00:49,105,50
00:00:51,105,50
00:00:52,105,50
00:00:52,105,50
00:00:53,105,50
00:00:55,105,50
00:00:56,105,50
00:00:56,105,50
00:00:58,105,50
00:00:59,105,50
00:01:00,105,50
00:01:01,105,50
00:01:02,104,50
00:01:03,104,50
00:01:04,104,50
00:01:05,104,50
00:01:05,103,50
00:01:07,103,50
00:01:08,103,50
00:01:08,103,50
00:01:10,103,50
00:01:11,103,50
00:01:11,103,50
00:01:13,103,50
00:01:14,104,50
00:01:15,104,50
00:01:16,104,50
00:01:17,104,50
00:01:18,104,50
00:01:19,104,50
00:01:19,104,50
00:01:20,104,50
00:01:22,104,50
00:01:22,103,50
00:01:23,103,50
00:01:25,102,50
00:01:25,102,50
00:01:28,102,50
00:01:28,102,50
00:01:28,103,50
00:01:30,103,50
00:01:30,103,50
00:01:31,104,50
00:01:31,105,50
00:01:34,106,50
00:01:34,106,50
00:01:36,105,50
00:01:36,105,50
00:01:37,105,50
00:01:38,104,50
00:01:40,104,50
00:01:40,104,50
00:01:41,104,50
00:01:43,105,50
00:01:43,105,50
00:01:45,106,50
00:01:46,106,50
00:01:46,106,50
00:01:48,106,50
00:01:49,106,50
00:01:50,106,50
00:01:50,105,50
00:01:52,105,50
00:01:53,106,50
00:01:53,106,50
00:01:53,106,50
00:01:53,106,50
00:01:55,106,50
00:01:56,105,50
00:01:56,104,50
00:01:58,103,50
00:01:59,103,50
00:02:00,103,50
00:02:01,103,50
00:02:02,104,50
00:02:03,105,50
00:02:04,105,50
00:02:05,104,50
00:02:05,104,50
00:02:07,104,50
00:02:07,104,50
00:02:08,105,50
00:02:10,104,50
00:02:10,104,50
00:02:11,104,50
00:02:13,104,50
00:02:13,105,50
00:02:15,105,50
00:02:16,106,50
00:02:16,106,50
00:02:18,106,50
00:02:18,106,50
00:02:19,106,50
00:02:19,106,50
00:02:22,105,50
00:02:23,105,50
00:02:24,105,50
00:02:25,105,50
00:02:26,105,50
00:02:27,104,50
00:02:28,104,50
00:02:30,102,50
00:02:31,102,50
00:02:31,102,50
00:02:33,102,50
00:02:34,102,50
00:02:34,102,50
00:02:36,102,50
00:02:37,102,50
00:02:37,102,50
00:02:38,101,50
00:02:38,101,50
00:02:40,101,50
00:02:40,101,50
00:02:41,101,50
00:02:41,100,50
00:02:43,100,50
00:02:44,100,50
00:02:45,101,50
00:02:46,102,50
00:02:47,103,50
00:02:48,103,50
00:02:49,103,50
00:02:50,103,50
00:02:50,102,50
00:02:52,102,50
00:02:53,102,50
00:02:53,102,50
00:02:55,102,50
00:02:55,102,50
00:02:56,102,50
00:02:58,102,50
00:02:58,103,50
00:03:00,103,50
00:03:01,103,50
00:03:01,103,50
00:03:03,102,50
00:03:04,102,50
00:03:04,102,50
00:03:05,102,50
00:03:07,102,50
00:03:07,102,50
00:03:08,102,50
00:03:10,101,50
00:03:11,101,50
00:03:12,101,50
00:03:13,102,50
00:03:14,102,50
00:03:15,103,50
00:03:16,103,50
00:03:17,104,50
00:03:18,105,50
00:03:19,105,50
00:03:20,106,50
00:03:21,106,50
00:03:22,106,50
