Date,Time,WL
2022-12-20,00:00:00,25
2022-12-20,00:00:00,30
2022-12-20,00:00:01,30
2022-12-20,00:00:02,30
2022-12-20,00:00:03,30
2022-12-20,00:00:04,30
2022-12-20,00:00:06,30
2022-12-20,00:00:06,30
2022-12-20,00:00:07,30
2022-12-20,00:00:08,30
2022-12-20,00:00:09,30
2022-12-20,00:00:10,30
2022-12-20,00:00:12,30
2022-12-20,00:00:12,30
2022-12-20,00:00:13,30
2022-12-20,00:00:15,30
2022-12-20,00:00:16,30
2022-12-20,00:00:16,30
2022-12-20,00:00:17,30
2022-12-20,00:00:19,30
2022-12-20,00:00:19,30
2022-12-20,00:00:21,30
2022-12-20,00:00:22,30
2022-12-20,00:00:22,30
2022-12-20,00:00:23,30
2022-12-20,00:00:25,30
2022-12-20,00:00:25,30
2022-12-20,00:00:27,30
2022-12-20,00:00:28,30
2022-12-20,00:00:28,30
2022-12-20,00:00:30,30
2022-12-20,00:00:31,30
2022-12-20,00:00:32,30
2022-12-20,00:00:32,30
2022-12-20,00:00:34,30
2022-12-20,00:00:35,30
2022-12-20,00:00:36,30
2022-12-20,00:00:37,30
2022-12-20,00:00:38,30
2022-12-20,00:00:39,30
2022-12-20,00:00:40,30
2022-12-20,00:00:41,30
2022-12-20,00:00:42,30
2022-12-20,00:00:43,30
2022-12-20,00:00:44,30
2022-12-20,00:00:45,30
2022-12-20,00:00:46,30
2022-12-20,00:00:47,30
2022-12-20,00:00:48,30
2022-12-20,00:00:49,30
2022-12-20,00:00:50,30
2022-12-20,00:00:51,30
2022-12-20,00:00:52,30
2022-12-20,00:00:53,30
2022-12-20,00:00:54,30
2022-12-20,00:00:55,30
2022-12-20,00:00:56,30
2022-12-20,00:00:57,30
2022-12-20,00:00:58,30
2022-12-20,00:00:59,30
2022-12-20,00:01:00,30
2022-12-20,00:01:01,30
2022-12-20,00:01:02,30
2022-12-20,00:01:03,30
2022-12-20,00:01:04,30
2022-12-20,00:01:06,30
2022-12-20,00:01:06,30
2022-12-20,00:01:07,30
2022-12-20,00:01:08,30
2022-12-20,00:01:09,30
2022-12-20,00:01:10,30
2022-12-20,00:01:12,30
2022-12-20,00:01:13,30
2022-12-20,00:01:13,30
2022-12-20,00:01:15,30
2022-12-20,00:01:16,30
2022-12-20,00:01:16,30
2022-12-20,00:01:17,30
2022-12-20,00:01:19,30
2022-12-20,00:01:19,30
2022-12-20,00:01:21,30
2022-12-20,00:01:22,30
2022-12-20,00:01:22,30
2022-12-20,00:01:23,30
2022-12-20,00:01:25,30
2022-12-20,00:01:26,30
2022-12-20,00:01:27,30
2022-12-20,00:01:28,30
2022-12-20,00:01:29,30
2022-12-20,00:01:30,30
2022-12-20,00:01:31,30
2022-12-20,00:01:32,30
2022-12-20,00:01:32,30
2022-12-20,00:01:34,30
2022-12-20,00:01:35,30
2022-12-20,00:01:36,30
2022-12-20,00:01:37,30
2022-12-20,00:01:38,30
2022-12-20,00:01:39,30
2022-12-20,00:01:40,30
2022-12-20,00:01:41,30
2022-12-20,00:01:42,30
2022-12-20,00:01:43,30
2022-12-20,00:01:44,30
2022-12-20,00:01:45,30
2022-12-20,00:01:46,30
2022-12-20,00:01:47,30
2022-12-20,00:01:48,30
2022-12-20,00:01:49,30
2022-12-20,00:01:50,30
2022-12-20,00:01:51,30
2022-12-20,00:01:52,30
2022-12-20,00:01:53,30
2022-12-20,00:01:54,30
2022-12-20,00:01:55,30
2022-12-20,00:01:57,30
2022-12-20,00:01:57,30
2022-12-20,00:01:58,30
2022-12-20,00:02:00,30
2022-12-20,00:02:00,30
2022-12-20,00:02:01,30
2022-12-20,00:02:02,30
2022-12-20,00:02:03,30
2022-12-20,00:02:04,30
2022-12-20,00:02:06,30
2022-12-20,00:02:07,30
2022-12-20,00:02:07,30
2022-12-20,00:02:08,30
2022-12-20,00:02:10,30
2022-12-20,00:02:10,30
2022-12-20,00:02:12,30
2022-12-20,00:02:13,30
2022-12-20,00:02:13,30
2022-12-20,00:02:15,30
2022-12-20,00:02:16,30
2022-12-20,00:02:17,30
2022-12-20,00:02:17,30
2022-12-20,00:02:19,30
2022-12-20,00:02:20,30
2022-12-20,00:02:21,30
2022-12-20,00:02:22,30
2022-12-20,00:02:23,30
2022-12-20,00:02:23,30
2022-12-20,00:02:25,30
2022-12-20,00:02:26,30
2022-12-20,00:02:27,30
2022-12-20,00:02:28,30
2022-12-20,00:02:29,30
2022-12-20,00:02:30,30
2022-12-20,00:02:31,30
2022-12-20,00:02:32,30
2022-12-20,00:02:33,30
2022-12-20,00:02:34,30
2022-12-20,00:02:35,30
2022-12-20,00:02:36,30
2022-12-20,00:02:37,30
2022-12-20,00:02:38,30
2022-12-20,00:02:39,30
2022-12-20,00:02:40,30
2022-12-20,00:02:41,30
2022-12-20,00:02:42,30
2022-12-20,00:02:43,30
2022-12-20,00:02:44,30
2022-12-20,00:02:45,30
2022-12-20,00:02:46,30
2022-12-20,00:02:47,30
2022-12-20,00:02:48,30
2022-12-20,00:02:49,30
2022-12-20,00:02:51,30
2022-12-20,00:02:51,30
2022-12-20,00:02:52,30
2022-12-20,00:02:53,30
2022-12-20,00:02:54,30
2022-12-20,00:02:55,30
2022-12-20,00:02:57,30
2022-12-20,00:02:58,30
2022-12-20,00:02:58,30
2022-12-20,00:03:00,30
2022-12-20,00:03:01,30
2022-12-20,00:03:01,30
2022-12-20,00:03:02,30
2022-12-20,00:03:04,30
2022-12-20,00:03:04,30
2022-12-20,00:03:06,30
2022-12-20,00:03:07,30
2022-12-20,00:03:08,30
2022-12-20,00:03:08,30
2022-12-20,00:03:10,30
2022-12-20,00:03:11,30
2022-12-20,00:03:12,30
2022-12-20,00:03:13,30
2022-12-20,00:03:14,30
2022-12-20,00:03:15,30
2022-12-20,00:03:16,30
2022-12-20,00:03:17,30
2022-12-20,00:03:18,30
2022-12-20,00:03:19,30
2022-12-20,00:03:20,30
2022-12-20,00:03:21,30
2022-12-20,00:03:22,30
2022-12-20,00:03:23,30
2022-12-20,00:03:24,30
2022-12-20,00:03:25,30
2022-12-20,00:03:26,30
2022-12-20,00:03:27,30
2022-12-20,00:03:28,30
2022-12-20,00:03:29,30
2022-12-20,00:03:30,30
2022-12-20,00:03:31,30
2022-12-20,00:03:32,30
2022-12-20,00:03:33,30
2022-12-20,00:03:34,30
2022-12-20,00:03:36,30
2022-12-20,00:03:36,30
2022-12-20,00:03:37,30
2022-12-20,00:03:38,30
2022-12-20,00:03:39,30
2022-12-20,00:03:40,30
2022-12-20,00:03:42,30
2022-12-20,00:03:42,30
2022-12-20,00:03:43,30
2022-12-20,00:03:45,30
2022-12-20,00:03:45,30
2022-12-20,00:03:46,30
2022-12-20,00:03:47,30
2022-12-20,00:03:48,30
2022-12-20,00:03:49,30
2022-12-20,00:03:51,30
2022-12-20,00:03:52,30
2022-12-20,00:03:52,30
2022-12-20,00:03:53,30
2022-12-20,00:03:55,30
2022-12-20,00:03:55,30
2022-12-20,00:03:57,30
2022-12-20,00:03:58,30
2022-12-20,00:03:58,30
2022-12-20,00:04:00,40
2022-12-20,00:04:01,40
2022-12-20,00:04:02,40
2022-12-20,00:04:02,40
2022-12-20,00:04:04,40
2022-12-20,00:04:05,40
2022-12-20,00:04:06,40
2022-12-20,00:04:07,40
2022-12-20,00:04:08,40
2022-12-20,00:04:08,40
2022-12-20,00:04:10,40
2022-12-20,00:04:11,40
2022-12-20,00:04:12,40
2022-12-20,00:04:13,40
2022-12-20,00:04:14,40
2022-12-20,00:04:15,40
2022-12-20,00:04:16,40
2022-12-20,00:04:17,40
2022-12-20,00:04:18,40
2022-12-20,00:04:19,40
2022-12-20,00:04:20,40
2022-12-20,00:04:21,40
2022-12-20,00:04:22,40
2022-12-20,00:04:23,40
2022-12-20,00:04:24,40
2022-12-20,00:04:25,40
2022-12-20,00:04:26,40
2022-12-20,00:04:27,40
2022-12-20,00:04:28,40
2022-12-20,00:04:29,40
2022-12-20,00:04:30,40
2022-12-20,00:04:31,40
2022-12-20,00:04:32,40
2022-12-20,00:04:33,40
2022-12-20,00:04:34,40
2022-12-20,00:04:35,40
2022-12-20,00:04:36,40
2022-12-20,00:04:37,40
2022-12-20,00:04:38,40
2022-12-20,00:04:39,40
2022-12-20,00:04:40,40
2022-12-20,00:04:42,40
2022-12-20,00:04:42,40
2022-12-20,00:04:43,40
2022-12-20,00:04:45,40
2022-12-20,00:04:45,40
2022-12-20,00:04:46,40
2022-12-20,00:04:47,40
2022-12-20,00:04:48,40
2022-12-20,00:04:49,40
2022-12-20,00:04:51,40
2022-12-20,00:04:52,40
2022-12-20,00:04:52,40
2022-12-20,00:04:53,40
2022-12-20,00:04:55,40
2022-12-20,00:04:55,40
2022-12-20,00:04:57,40
2022-12-20,00:04:58,40
2022-12-20,00:04:59,40
2022-12-20,00:05:00,40
2022-12-20,00:05:01,40
2022-12-20,00:05:02,40
2022-12-20,00:05:02,40
2022-12-20,00:05:04,40
2022-12-20,00:05:05,40
2022-12-20,00:05:06,40
2022-12-20,00:05:07,40
2022-12-20,00:05:08,40
2022-12-20,00:05:08,40
2022-12-20,00:05:10,40
2022-12-20,00:05:11,40
2022-12-20,00:05:12,40
