Date,Time,HeartRate
2022-12-20,00:00:00,105
2022-12-20,00:00:01,106
2022-12-20,00:00:02,106
2022-12-20,00:00:03,106
2022-12-20,00:00:04,105
2022-12-20,00:00:05,105
2022-12-20,00:00:06,104
2022-12-20,00:00:07,104
2022-12-20,00:00:08,104
2022-12-20,00:00:09,103
2022-12-20,00:00:10,103
2022-12-20,00:00:11,103
2022-12-20,00:00:12,102
2022-12-20,00:00:13,101
2022-12-20,00:00:14,99
2022-12-20,00:00:15,98
2022-12-20,00:00:16,97
2022-12-20,00:00:17,96
2022-12-20,00:00:18,95
2022-12-20,00:00:19,94
2022-12-20,00:00:20,94
2022-12-20,00:00:21,93
2022-12-20,00:00:22,93
2022-12-20,00:00:23,92
2022-12-20,00:00:24,91
2022-12-20,00:00:25,91
2022-12-20,00:00:26,90
2022-12-20,00:00:27,90
2022-12-20,00:00:29,91
2022-12-20,00:00:30,93
2022-12-20,00:00:31,94
2022-12-20,00:00:31,95
2022-12-20,00:00:32,97
2022-12-20,00:00:33,97
2022-12-20,00:00:34,96
2022-12-20,00:00:35,95
2022-12-20,00:00:37,93
2022-12-20,00:00:37,93
2022-12-20,00:00:39,92
2022-12-20,00:00:39,92
2022-12-20,00:00:40,92
2022-12-20,00:00:41,93
2022-12-20,00:00:42,93
2022-12-20,00:00:43,94
2022-12-20,00:00:44,94
2022-12-20,00:00:45,95
2022-12-20,00:00:46,95
2022-12-20,00:00:48,94
2022-12-20,00:00:48,94
2022-12-20,00:00:49,93
2022-12-20,00:00:51,93
2022-12-20,00:00:51,93
2022-12-20,00:00:52,93
2022-12-20,00:00:53,94
2022-12-20,00:00:54,94
2022-12-20,00:00:55,94
2022-12-20,00:00:57,94
2022-12-20,00:00:57,95
2022-12-20,00:00:58,96
2022-12-20,00:00:59,96
2022-12-20,00:01:00,95
2022-12-20,00:01:01,95
2022-12-20,00:01:02,94
2022-12-20,00:01:03,92
2022-12-20,00:01:04,91
2022-12-20,00:01:05,91
2022-12-20,00:01:06,91
2022-12-20,00:01:07,92
2022-12-20,00:01:09,92
2022-12-20,00:01:09,93
2022-12-20,00:01:10,93
2022-12-20,00:01:12,93
2022-12-20,00:01:12,94
2022-12-20,00:01:13,94
2022-12-20,00:01:15,94
2022-12-20,00:01:16,95
2022-12-20,00:01:17,95
2022-12-20,00:01:17,95
2022-12-20,00:01:18,95
2022-12-20,00:01:19,95
2022-12-20,00:01:20,94
2022-12-20,00:01:22,93
2022-12-20,00:01:22,93
2022-12-20,00:01:23,93
2022-12-20,00:01:24,94
2022-12-20,00:01:25,94
2022-12-20,00:01:26,95
2022-12-20,00:01:27,96
2022-12-20,00:01:28,96
2022-12-20,00:01:29,95
2022-12-20,00:01:30,95
2022-12-20,00:01:31,94
2022-12-20,00:01:32,93
2022-12-20,00:01:34,92
2022-12-20,00:01:34,92
2022-12-20,00:01:35,92
2022-12-20,00:01:36,94
2022-12-20,00:01:37,94
2022-12-20,00:01:38,95
2022-12-20,00:01:39,95
2022-12-20,00:01:40,96
2022-12-20,00:01:41,95
2022-12-20,00:01:42,94
2022-12-20,00:01:43,94
2022-12-20,00:01:45,93
2022-12-20,00:01:45,92
2022-12-20,00:01:46,92
2022-12-20,00:01:47,93
2022-12-20,00:01:48,93
2022-12-20,00:01:51,93
2022-12-20,00:01:51,94
2022-12-20,00:01:51,94
2022-12-20,00:01:52,94
2022-12-20,00:01:53,94
2022-12-20,00:01:54,95
2022-12-20,00:01:55,95
2022-12-20,00:01:56,95
2022-12-20,00:01:57,95
2022-12-20,00:01:58,95
2022-12-20,00:02:00,94
