0,1,2
2022-12-09,08:04:20.854000,100
2022-12-09,08:04:21.960000,100
2022-12-09,08:04:22.966000,100
2022-12-09,08:04:23.871000,99
2022-12-09,08:04:24.876000,98
2022-12-09,08:04:25.883000,96
2022-12-09,08:04:26.889000,96
2022-12-09,08:04:27.896000,96
2022-12-09,08:04:28.901000,96
2022-12-09,08:04:29.907000,96
2022-12-09,08:04:30.912000,97
2022-12-09,08:04:31.918000,98
2022-12-09,08:04:33.025000,99
2022-12-09,08:04:34.234000,99
2022-12-09,08:04:34.938000,100
2022-12-09,08:04:35.844000,100
2022-12-09,08:04:36.851000,100
2022-12-09,08:04:37.857000,99
2022-12-09,08:04:38.863000,98
2022-12-09,08:04:39.870000,96
2022-12-09,08:04:40.977000,96
2022-12-09,08:04:41.883000,96
2022-12-09,08:04:42.889000,96
2022-12-09,08:04:43.896000,95
2022-12-09,08:04:44.903000,95
2022-12-09,08:04:45.909000,96
2022-12-09,08:04:46.915000,96
2022-12-09,08:04:48.022000,96
2022-12-09,08:04:49.028000,96
2022-12-09,08:04:50.035000,96
2022-12-09,08:04:51.042000,96
2022-12-09,08:04:51.948000,96
2022-12-09,08:04:52.955000,96
2022-12-09,08:04:53.961000,96
2022-12-09,08:04:54.967000,97
2022-12-09,08:04:55.975000,97
2022-12-09,08:04:56.981000,98
2022-12-09,08:04:57.887000,98
2022-12-09,08:04:59.396000,98
2022-12-09,08:05:00.403000,97
2022-12-09,08:05:00.906000,97
2022-12-09,08:05:01.913000,96
2022-12-09,08:05:02.920000,96
2022-12-09,08:05:03.826000,96
2022-12-09,08:05:04.833000,97
2022-12-09,08:05:06.343000,97
2022-12-09,08:05:07.351000,97
2022-12-09,08:05:09.264000,97
2022-12-09,08:05:09.264000,97
2022-12-09,08:05:10.271000,97
2022-12-09,08:05:11.275000,97
2022-12-09,08:05:12.281000,97
2022-12-09,08:05:13.289000,97
2022-12-09,08:05:14.799000,97
2022-12-09,08:05:15.202000,97
2022-12-09,08:05:16.208000,98
2022-12-09,08:05:17.215000,98
2022-12-09,08:05:18.221000,99
2022-12-09,08:05:19.224000,99
2022-12-09,08:05:20.231000,99
