0,1,2
2022-12-08,12:24:57.272000,25
2022-12-08,12:24:58.304000,35
2022-12-08,12:24:59.330000,35
2022-12-08,12:25:00.336000,35
2022-12-08,12:25:01.353000,35
2022-12-08,12:25:02.371000,35
2022-12-08,12:25:03.379000,35
2022-12-08,12:25:04.385000,35
2022-12-08,12:25:05.386000,35
2022-12-08,12:25:06.423000,35
2022-12-08,12:25:07.473000,35
2022-12-08,12:25:08.466000,35
2022-12-08,12:25:09.462000,35
2022-12-08,12:25:10.483000,35
2022-12-08,12:25:11.498000,35
2022-12-08,12:25:12.531000,35
2022-12-08,12:25:13.525000,35
2022-12-08,12:25:14.558000,35
2022-12-08,12:25:15.568000,35
2022-12-08,12:25:16.596000,35
2022-12-08,12:25:17.623000,35
2022-12-08,12:25:18.656000,35
2022-12-08,12:25:19.661000,35
2022-12-08,12:25:20.714000,35
2022-12-08,12:25:21.700000,35
2022-12-08,12:25:22.727000,35
2022-12-08,12:25:23.730000,35
2022-12-08,12:25:24.734000,35
2022-12-08,12:25:25.743000,35
2022-12-08,12:25:26.751000,35
2022-12-08,12:25:27.746000,35
2022-12-08,12:25:28.757000,35
2022-12-08,12:25:29.779000,35
2022-12-08,12:25:30.795000,35
2022-12-08,12:25:31.837000,35
2022-12-08,12:25:32.865000,35
2022-12-08,12:25:33.841000,35
2022-12-08,12:25:34.875000,35
2022-12-08,12:25:35.883000,35
2022-12-08,12:25:36.919000,35
2022-12-08,12:25:37.905000,35
2022-12-08,12:25:38.929000,35
2022-12-08,12:25:39.909000,35
2022-12-08,12:25:40.946000,35
2022-12-08,12:25:41.986000,35
2022-12-08,12:25:43.024000,35
2022-12-08,12:25:44.050000,35
2022-12-08,12:25:45.047000,35
2022-12-08,12:25:46.103000,35
2022-12-08,12:25:47.110000,35
2022-12-08,12:25:48.113000,35
2022-12-08,12:25:49.117000,35
2022-12-08,12:25:50.136000,35
2022-12-08,12:25:51.175000,35
2022-12-08,12:25:52.183000,35
2022-12-08,12:25:53.204000,35
2022-12-08,12:25:54.200000,35
2022-12-08,12:25:55.249000,35
2022-12-08,12:25:56.257000,35
2022-12-08,12:25:57.287000,35
2022-12-08,12:25:58.301000,35
2022-12-08,12:25:59.281000,35
2022-12-08,12:26:00.315000,35
2022-12-08,12:26:01.367000,35
2022-12-08,12:26:02.369000,35
2022-12-08,12:26:03.350000,35
2022-12-08,12:26:04.371000,35
2022-12-08,12:26:05.394000,35
2022-12-08,12:26:06.407000,35
2022-12-08,12:26:07.411000,35
2022-12-08,12:26:08.442000,35
2022-12-08,12:26:09.458000,35
2022-12-08,12:26:10.482000,35
2022-12-08,12:26:11.531000,35
2022-12-08,12:26:12.535000,35
2022-12-08,12:26:13.521000,35
2022-12-08,12:26:14.530000,35
2022-12-08,12:26:15.541000,35
2022-12-08,12:26:16.541000,35
2022-12-08,12:26:17.563000,35
2022-12-08,12:26:18.592000,35
2022-12-08,12:26:19.600000,35
2022-12-08,12:26:20.615000,35
2022-12-08,12:26:21.625000,35
2022-12-08,12:26:22.675000,35
2022-12-08,12:26:23.676000,35
2022-12-08,12:26:24.683000,35
2022-12-08,12:26:25.685000,35
2022-12-08,12:26:26.701000,35
2022-12-08,12:26:27.732000,35
2022-12-08,12:26:28.728000,35
2022-12-08,12:26:29.730000,35
2022-12-08,12:26:30.749000,35
2022-12-08,12:26:31.754000,35
2022-12-08,12:26:32.781000,35
2022-12-08,12:26:33.813000,35
2022-12-08,12:26:34.823000,35
2022-12-08,12:26:35.825000,35
2022-12-08,12:26:36.847000,35
2022-12-08,12:26:37.851000,35
2022-12-08,12:26:38.885000,35
2022-12-08,12:26:39.886000,35
2022-12-08,12:26:40.917000,35
2022-12-08,12:26:41.943000,35
2022-12-08,12:26:42.976000,35
2022-12-08,12:26:44.014000,35
2022-12-08,12:26:45.031000,35
2022-12-08,12:26:46.040000,35
2022-12-08,12:26:47.055000,35
2022-12-08,12:26:48.071000,35
2022-12-08,12:26:49.084000,35
2022-12-08,12:26:50.093000,35
2022-12-08,12:26:51.117000,35
2022-12-08,12:26:52.115000,35
2022-12-08,12:26:53.149000,35
2022-12-08,12:26:54.181000,35
2022-12-08,12:26:55.204000,35
2022-12-08,12:26:56.238000,35
2022-12-08,12:26:57.254000,35
2022-12-08,12:26:58.269000,35
2022-12-08,12:26:59.291000,35
2022-12-08,12:27:00.298000,35
2022-12-08,12:27:01.325000,35
2022-12-08,12:27:02.356000,35
2022-12-08,12:27:03.370000,35
2022-12-08,12:27:04.393000,35
2022-12-08,12:27:05.423000,35
2022-12-08,12:27:06.420000,35
2022-12-08,12:27:07.420000,35
2022-12-08,12:27:08.460000,35
2022-12-08,12:27:09.487000,35
2022-12-08,12:27:10.518000,35
2022-12-08,12:27:11.518000,35
2022-12-08,12:27:12.573000,35
2022-12-08,12:27:13.613000,35
2022-12-08,12:27:14.595000,35
2022-12-08,12:27:15.655000,35
2022-12-08,12:27:16.659000,35
2022-12-08,12:27:17.697000,35
2022-12-08,12:27:18.698000,35
2022-12-08,12:27:19.694000,35
2022-12-08,12:27:20.729000,35
2022-12-08,12:27:21.756000,35
2022-12-08,12:27:22.766000,35
2022-12-08,12:27:23.779000,35
2022-12-08,12:27:24.816000,35
2022-12-08,12:27:25.813000,35
2022-12-08,12:27:26.849000,35
2022-12-08,12:27:27.850000,35
2022-12-08,12:27:28.878000,35
2022-12-08,12:27:29.916000,35
2022-12-08,12:27:30.966000,35
2022-12-08,12:27:31.976000,35
2022-12-08,12:27:32.987000,35
2022-12-08,12:27:34.018000,35
2022-12-08,12:27:35.028000,35
2022-12-08,12:27:36.034000,35
2022-12-08,12:27:37.065000,35
2022-12-08,12:27:38.048000,35
2022-12-08,12:27:39.054000,35
2022-12-08,12:27:40.072000,35
2022-12-08,12:27:41.061000,35
2022-12-08,12:27:42.063000,35
2022-12-08,12:27:43.093000,35
2022-12-08,12:27:44.126000,35
2022-12-08,12:27:45.159000,35
2022-12-08,12:27:46.164000,35
2022-12-08,12:27:47.203000,35
2022-12-08,12:27:48.209000,35
2022-12-08,12:27:49.233000,35
2022-12-08,12:27:50.222000,35
2022-12-08,12:27:51.229000,35
2022-12-08,12:27:52.262000,35
2022-12-08,12:27:53.293000,35
2022-12-08,12:27:54.293000,35
2022-12-08,12:27:55.300000,35
2022-12-08,12:27:56.330000,35
2022-12-08,12:27:57.340000,35
2022-12-08,12:27:58.346000,35
2022-12-08,12:27:59.375000,35
2022-12-08,12:28:00.394000,35
2022-12-08,12:28:01.401000,35
2022-12-08,12:28:02.408000,35
2022-12-08,12:28:03.416000,35
2022-12-08,12:28:04.441000,35
2022-12-08,12:28:05.434000,35
2022-12-08,12:28:06.437000,35
2022-12-08,12:28:07.448000,35
2022-12-08,12:28:08.472000,35
2022-12-08,12:28:09.476000,35
2022-12-08,12:28:10.507000,35
2022-12-08,12:28:11.526000,35
2022-12-08,12:28:12.551000,35
2022-12-08,12:28:13.541000,35
2022-12-08,12:28:14.561000,35
2022-12-08,12:28:15.560000,35
2022-12-08,12:28:16.602000,35
2022-12-08,12:28:17.583000,35
2022-12-08,12:28:18.595000,35
2022-12-08,12:28:19.634000,35
2022-12-08,12:28:20.632000,35
2022-12-08,12:28:21.653000,35
2022-12-08,12:28:22.674000,35
2022-12-08,12:28:23.674000,35
2022-12-08,12:28:24.689000,35
2022-12-08,12:28:25.696000,35
2022-12-08,12:28:26.746000,35
2022-12-08,12:28:27.740000,35
2022-12-08,12:28:28.744000,35
2022-12-08,12:28:29.757000,35
2022-12-08,12:28:30.786000,35
2022-12-08,12:28:31.794000,35
2022-12-08,12:28:32.799000,35
2022-12-08,12:28:33.826000,35
2022-12-08,12:28:34.829000,35
2022-12-08,12:28:35.862000,35
2022-12-08,12:28:36.872000,35
2022-12-08,12:28:37.891000,35
2022-12-08,12:28:38.900000,35
2022-12-08,12:28:39.906000,35
2022-12-08,12:28:40.925000,35
2022-12-08,12:28:41.926000,35
2022-12-08,12:28:42.943000,35
2022-12-08,12:28:43.991000,35
2022-12-08,12:28:44.991000,35
2022-12-08,12:28:46.003000,35
2022-12-08,12:28:47.034000,35
2022-12-08,12:28:48.059000,35
2022-12-08,12:28:49.051000,35
2022-12-08,12:28:50.083000,35
2022-12-08,12:28:51.107000,35
2022-12-08,12:28:52.086000,35
2022-12-08,12:28:53.114000,35
2022-12-08,12:28:54.123000,35
2022-12-08,12:28:55.147000,35
2022-12-08,12:28:56.141000,35
2022-12-08,12:28:57.179000,35
2022-12-08,12:28:58.169000,45
2022-12-08,12:28:59.171000,45
2022-12-08,12:29:00.187000,45
2022-12-08,12:29:01.189000,45
2022-12-08,12:29:02.228000,45
2022-12-08,12:29:03.214000,45
2022-12-08,12:29:04.216000,45
2022-12-08,12:29:05.240000,45
2022-12-08,12:29:06.228000,45
2022-12-08,12:29:07.247000,45
2022-12-08,12:29:08.271000,45
2022-12-08,12:29:09.273000,45
2022-12-08,12:29:10.273000,45
2022-12-08,12:29:11.284000,45
2022-12-08,12:29:12.303000,45
2022-12-08,12:29:13.306000,45
2022-12-08,12:29:14.320000,45
